,team_id,team_name,matches_played,wins,draws,loses,goalsFor,goalsAgainst,avg_goalsFor,avg_goalsAgainst
0,489,AC Milan,38,19,11,8,55,36,1.4,0.9
1,495,Genoa,38,8,14,16,39,57,1.0,1.5
2,499,Atalanta,38,20,9,9,77,46,2.0,1.2
3,512,Frosinone,38,5,10,23,29,69,0.8,1.8
4,500,Bologna,38,11,11,16,48,56,1.3,1.5
5,493,Spal,38,11,9,18,44,56,1.2,1.5
6,491,Chievo,38,2,14,22,25,75,0.7,2.0
7,496,Juventus,38,28,6,4,70,30,1.8,0.8
8,511,Empoli,38,10,8,20,51,70,1.3,1.8
9,490,Cagliari,38,10,11,17,36,54,0.9,1.4
10,487,Lazio,38,17,8,13,56,46,1.5,1.2
11,492,Napoli,38,24,7,7,74,36,1.9,0.9
12,523,Parma,38,10,11,17,41,61,1.1,1.6
13,494,Udinese,38,11,10,17,39,53,1.0,1.4
14,498,Sampdoria,38,15,8,15,60,51,1.6,1.3
15,502,Fiorentina,38,8,17,13,47,45,1.2,1.2
16,488,Sassuolo,38,9,16,13,53,60,1.4,1.6
17,505,Inter,38,20,9,9,57,33,1.5,0.9
18,503,Torino,38,16,15,7,52,37,1.4,1.0
19,497,AS Roma,38,18,12,8,66,48,1.7,1.3
